GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,com.example.demo.unittesting.business,SomeBusinessImpl,59,0,4,0,12,0,6,0,4,0
demo,com.example.demo,UnitTestingApplication,8,0,0,0,3,0,2,0,2,0
